matrix_row_id,segment,sample_index,t_sec_from_segment_start,poly0,poly1,poly2,poly3,gx_shape,gz_shape,Sxx_shape,Sxz_shape,source_status,valid_for_claim
DMROW2781_000,210,0,0.0,1.000000000000000e+00,-1.000000000000000e+00,1.000000000000000e+00,-1.000000000000000e+00,-1.000000000000000e+00,-0.000000000000000e+00,1.000000000000000e+00,0.000000000000000e+00,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_001,210,4663,1165.75,1.000000000000000e+00,-9.921568627450981e-01,9.843752402921954e-01,-9.766546501722566e-01,6.980171942659759e-01,7.160811546566690e-01,-2.554399301813973e-02,9.996739168803427e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_002,210,9326,2331.5,1.000000000000000e+00,-9.843137254901961e-01,9.688735101883892e-01,-9.536754943422968e-01,2.554399301818808e-02,-9.996739168803414e-01,-9.986950088413783e-01,-5.107132710641624e-02,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_003,210,13989,3497.25,1.000000000000000e+00,-9.764705882352941e-01,9.534948096885812e-01,-9.310596376959087e-01,-7.336774869397312e-01,6.794980106266644e-01,7.656530968432350e-02,-9.970647856342765e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_004,210,18652,4663.0,1.000000000000000e+00,-9.686274509803922e-01,9.382391387927720e-01,-9.088041854188811e-01,9.986950088413408e-01,5.107132710635793e-02,9.947834413693620e-01,1.020093589521666e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_005,210,23315,5828.75,1.000000000000000e+00,-9.607843137254902e-01,9.231064975009612e-01,-8.869062426970020e-01,-6.605350890580632e-01,-7.507953395351523e-01,-1.273867922461386e-01,9.918533329285567e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_006,210,27978,6994.5,1.000000000000000e+00,-9.529411764705882e-01,9.080968858131487e-01,-8.653629147160593e-01,-7.656530968435811e-02,9.970647856342266e-01,-9.882755067058874e-01,-1.526811481748444e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_007,210,32641,8160.25,1.000000000000000e+00,-9.450980392156862e-01,8.932103037293349e-01,-8.441713066618419e-01,7.674228943459831e-01,-6.411413888044515e-01,1.778757975327123e-01,-9.840531605625986e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_008,210,37304,9326.0,1.000000000000000e+00,-9.372549019607843e-01,8.784467512495194e-01,-8.233285237201378e-01,-9.947834413693730e-01,-1.020093589521925e-01,9.791881904453411e-01,2.029544423006381e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_009,210,41967,10491.75,1.000000000000000e+00,-9.294117647058824e-01,8.638062283737025e-01,-8.028316710767353e-01,6.213289989477763e-01,7.835499618536630e-01,-2.279005501330881e-01,9.736846268483396e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_010,210,46630,11657.5,1.000000000000000e+00,-9.215686274509804e-01,8.492887351018840e-01,-7.826778539174225e-01,1.273867922461453e-01,-9.918533329284538e-01,-9.675452103224782e-01,-2.526980289208204e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_011,210,51293,12823.25,1.000000000000000e+00,-9.137254901960784e-01,8.348942714340638e-01,-7.628641774279876e-01,-7.991653415681425e-01,6.011113992944510e-01,2.773304863275262e-01,-9.607747934754334e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_012,210,55956,13989.0,1.000000000000000e+00,-9.058823529411765e-01,8.206228373702422e-01,-7.433877467942194e-01,9.882755067058288e-01,1.526811481748967e-01,9.533769543095562e-01,3.017820781538625e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_013,210,60619,15154.75,1.000000000000000e+00,-8.980392156862745e-01,8.064744329104191e-01,-7.242456672019059e-01,-5.805012511370046e-01,-8.142595326271675e-01,-3.260365948565633e-01,9.453573548807209e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_014,210,65282,16320.5,1.000000000000000e+00,-8.901960784313725e-01,7.924490580545943e-01,-7.054350438368349e-01,-1.778757975327139e-01,9.840531605625323e-01,-9.367204013042031e-01,-3.500784814993168e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_015,210,69945,17486.25,1.000000000000000e+00,-8.823529411764706e-01,7.785467128027681e-01,-6.869529818847954e-01,8.288219813803099e-01,-5.595125196616928e-01,3.738917536383042e-01,-9.274725503062766e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_016,210,74608,18652.0,1.000000000000000e+00,-8.745098039215686e-01,7.647673971549405e-01,-6.687965865315754e-01,-9.791881904452754e-01,-2.029544423006265e-01,9.176190246152436e-01,3.974611861984105e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_017,210,79271,19817.75,1.000000000000000e+00,-8.666666666666667e-01,7.511111111111112e-01,-6.509629629629631e-01,5.381584053257287e-01,8.428439004187231e-01,-4.207710615544857e-01,9.071670587758032e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_018,210,83934,20983.5,1.000000000000000e+00,-8.588235294117648e-01,7.375778546712803e-01,-6.334492163647467e-01,2.279005501331326e-01,-9.736846268482964e-01,-8.961226784980713e-01,-4.438065242297347e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_019,210,88597,22149.25,1.000000000000000e+00,-8.509803921568627e-01,7.241676278354479e-01,-6.162524519227144e-01,-8.563154104769028e-01,5.164533222463839e-01,4.665521644404018e-01,-8.844938772631386e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_020,210,93260,23315.0,1.000000000000000e+00,-8.431372549019608e-01,7.108804306036139e-01,-5.993697748226550e-01,9.675452103224225e-01,2.526980289207528e-01,8.722874680359372e-01,4.889935350805417e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
DMROW2781_021,210,97923,24480.75,1.000000000000000e+00,-8.352941176470589e-01,6.977162629757786e-01,-5.827982902503562e-01,-4.944109755926843e-01,-8.692284605340213e-01,-5.111155744270565e-01,8.595121823711054e-01,SURROGATE_DESIGN_MATRIX_ONLY,False
