same_parent_branch_id,path_id,paint_op,operator_sequence,point_count,line_width,stroke_color,fill_color,min_x,max_x,min_y,max_y,span_x,span_y,role_guess,score_ready,valid_prediction_row,valid_for_claim,claim_allowed
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_0,S,ml,2,10.488,black,"rgb(0,0,0)",1223.21,4624.73,775.344,775.344,3401.52,0.0,long_horizontal_axis_or_grid_candidate,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_1,S,ml,2,10.488,black,"rgb(0,0,0)",1223.21,1223.21,775.344,830.332,0.0,54.988,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_2,S,ml,2,10.488,black,"rgb(0,0,0)",1444.88,1444.88,775.344,830.332,0.0,54.988,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_3,S,ml,2,10.488,black,"rgb(0,0,0)",1601.91,1601.91,775.344,830.332,0.0,54.988,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_4,S,ml,2,10.488,black,"rgb(0,0,0)",1724.08,1724.08,775.344,830.332,0.0,54.988,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_5,S,ml,2,10.488,black,"rgb(0,0,0)",1823.58,1823.58,775.344,830.332,0.0,54.988,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_6,S,ml,2,10.488,black,"rgb(0,0,0)",1907.77,1907.77,775.344,830.332,0.0,54.988,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_7,S,ml,2,10.488,black,"rgb(0,0,0)",1980.9,1980.9,775.344,830.332,0.0,54.988,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_8,S,ml,2,10.488,black,"rgb(0,0,0)",2045.24,2045.24,775.344,830.332,0.0,54.988,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_9,S,ml,2,10.488,black,"rgb(0,0,0)",2102.79,2102.79,775.344,885.609,0.0,110.265,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_10,S,ml,2,10.488,black,"rgb(0,0,0)",2481.49,2481.49,775.344,830.332,0.0,54.988,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_11,S,ml,2,10.488,black,"rgb(0,0,0)",2703.15,2703.15,775.344,830.332,0.0,54.988,tick_text_or_minor_path,False,False,False,False
MTS_R10_WEP_RAB_FINITE_SOURCE_BRANCH_1428,PATH1497_12,S,ml,2,10.488,black,"rgb(0,0,0)",2860.19,2860.19,775.344,830.332,0.0,54.988,tick_text_or_minor_path,False,False,False,False
