critical_id,bound_name,abs_sK2_kappaSTF,max_N4_D2_for_pressure,equivalent_condition,PH_bound,status,valid_for_claim,generated_utc
CRIT3188_adopted_solar_J2_scale_c1e-12,adopted_solar_J2_scale,1.000000000000000e-12,1.181213445178966e+24,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.476516806473707e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_adopted_solar_J2_scale_c1e-09,adopted_solar_J2_scale,1.000000000000000e-09,1.181213445178966e+21,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.476516806473707e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_adopted_solar_J2_scale_c1e-06,adopted_solar_J2_scale,1.000000000000000e-06,1.181213445178966e+18,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.476516806473707e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_adopted_solar_J2_scale_c1e-03,adopted_solar_J2_scale,1.000000000000000e-03,1.181213445178966e+15,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.476516806473707e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_adopted_solar_J2_scale_c1e+00,adopted_solar_J2_scale,1.000000000000000e+00,1.181213445178966e+12,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.476516806473707e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_adopted_solar_J2_scale_c1e+03,adopted_solar_J2_scale,1.000000000000000e+03,1.181213445178966e+09,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.476516806473707e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_adopted_solar_J2_scale_c1e+06,adopted_solar_J2_scale,1.000000000000000e+06,1.181213445178966e+06,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.476516806473707e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_adopted_solar_J2_scale_c1e+09,adopted_solar_J2_scale,1.000000000000000e+09,1.181213445178966e+03,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.476516806473707e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_adopted_solar_J2_scale_c1e+12,adopted_solar_J2_scale,1.000000000000000e+12,1.181213445178966e+00,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.476516806473707e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_solar_J2_total_high_c1e-12,solar_J2_total_high,1.000000000000000e-12,1.370207596407600e+24,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.712759495509500e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_solar_J2_total_high_c1e-09,solar_J2_total_high,1.000000000000000e-09,1.370207596407600e+21,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.712759495509500e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_solar_J2_total_high_c1e-06,solar_J2_total_high,1.000000000000000e-06,1.370207596407600e+18,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.712759495509500e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_solar_J2_total_high_c1e-03,solar_J2_total_high,1.000000000000000e-03,1.370207596407600e+15,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.712759495509500e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_solar_J2_total_high_c1e+00,solar_J2_total_high,1.000000000000000e+00,1.370207596407600e+12,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.712759495509500e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_solar_J2_total_high_c1e+03,solar_J2_total_high,1.000000000000000e+03,1.370207596407600e+09,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.712759495509500e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_solar_J2_total_high_c1e+06,solar_J2_total_high,1.000000000000000e+06,1.370207596407600e+06,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.712759495509500e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_solar_J2_total_high_c1e+09,solar_J2_total_high,1.000000000000000e+09,1.370207596407600e+03,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.712759495509500e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_solar_J2_total_high_c1e+12,solar_J2_total_high,1.000000000000000e+12,1.370207596407600e+00,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,1.712759495509500e+12,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_solar_J2_half_range_proxy_c1e-12,solar_J2_half_range_proxy,1.000000000000000e-12,1.949002184545292e+23,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,2.436252730681615e+11,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_solar_J2_half_range_proxy_c1e-09,solar_J2_half_range_proxy,1.000000000000000e-09,1.949002184545292e+20,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,2.436252730681615e+11,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_solar_J2_half_range_proxy_c1e-06,solar_J2_half_range_proxy,1.000000000000000e-06,1.949002184545292e+17,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,2.436252730681615e+11,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_solar_J2_half_range_proxy_c1e-03,solar_J2_half_range_proxy,1.000000000000000e-03,1.949002184545292e+14,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,2.436252730681615e+11,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
CRIT3188_solar_J2_half_range_proxy_c1e+00,solar_J2_half_range_proxy,1.000000000000000e+00,1.949002184545292e+11,|s_K2*kappa_STF|*N4_D2 <= (4/5)B_PH,2.436252730681615e+11,CRITICAL_NORM_NONCLAIM,false,2026-06-26T13:33:30.698670+00:00
