row_id,kernel,y,s_ell_theta_over_3,epsilon_H,G_over_Gamma_star,G_theta_over_Gamma_star_ell,G_theta_theta_over_Gamma_star_ell2,dot_G_theta_over_Gamma_star,kappa_rho_over_Gamma_star,kappa_p_over_Gamma_star,rho_plus_p_identity_residual,unit_lambda_over_Gamma_star,heat_flux,anisotropic_stress,rho_zero_y,hessian_zero_y,status,valid_for_claim,timestamp_utc
STR4847_positive_branch_exponential_0.00000000e+00,positive_branch_exponential,0.0000000000000000e+00,0.0000000000000000e+00,-4.5000000000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0,1.9038136944403834e+00,6.6666666666666652e-01,EXACT_STATIC_STRESS_ZERO,False,2026-07-09T21:30:00+00:00
STR4847_positive_branch_exponential_1.00000000e-01,positive_branch_exponential,1.0000000000000001e-01,4.6415888336127792e-01,-4.5000000000000001e-01,9.5162581964040427e-02,1.9494131222555527e-01,2.3799338449480789e-01,-6.9220062479750905e-02,-1.7628864344674749e-01,1.0706858096699659e-01,0.0000000000000000e+00,3.4610031239875452e-02,0,0,1.9038136944403834e+00,6.6666666666666652e-01,COVARIANT_STRESS_COMPUTED_NONCLAIM,False,2026-07-09T21:30:00+00:00
STR4847_positive_branch_exponential_6.66666667e-01,positive_branch_exponential,6.6666666666666652e-01,8.7358046473629880e-01,-4.5000000000000001e-01,4.8658288096740793e-01,3.9181059235153831e-01,7.4014868308343765e-17,-7.6253286521943299e-17,-5.4025135709777605e-01,5.4025135709777594e-01,-3.4769015940572355e-17,3.8126643260971650e-17,0,0,1.9038136944403834e+00,6.6666666666666652e-01,COVARIANT_STRESS_COMPUTED_NONCLAIM,False,2026-07-09T21:30:00+00:00
STR4847_positive_branch_exponential_1.28524018e+00,positive_branch_exponential,1.2852401805535250e+00,1.0872466999589006e+00,-4.5000000000000001e-01,7.2341585447944579e-01,3.2695160826012815e-01,-1.8601445762040225e-01,2.9684973464989711e-01,-3.4301531690179288e-01,6.3986505155168993e-01,-5.5511151231257827e-17,-1.4842486732494856e-01,0,0,1.9038136944403834e+00,6.6666666666666652e-01,COVARIANT_STRESS_COMPUTED_NONCLAIM,False,2026-07-09T21:30:00+00:00
STR4847_positive_branch_exponential_1.00000000e+00,positive_branch_exponential,1.0000000000000000e+00,1.0000000000000000e+00,-4.5000000000000001e-01,6.3212055882855767e-01,3.6787944117144233e-01,-1.2262648039048078e-01,1.6554574852714907e-01,-4.7151776468576934e-01,6.3706351321291843e-01,2.7755575615628914e-17,-8.2772874263574533e-02,0,0,1.9038136944403834e+00,6.6666666666666652e-01,COVARIANT_STRESS_COMPUTED_NONCLAIM,False,2026-07-09T21:30:00+00:00
STR4847_positive_branch_exponential_1.90381369e+00,positive_branch_exponential,1.9038136944403834e+00,1.2393904597078571e+00,-4.5000000000000001e-01,8.5100070348749135e-01,2.2887613741141888e-01,-2.2846184663516697e-01,4.7376584592880117e-01,-1.1102230246251565e-16,4.7376584592880128e-01,0.0000000000000000e+00,-2.3688292296440058e-01,0,0,1.9038136944403834e+00,6.6666666666666652e-01,COVARIANT_STRESS_COMPUTED_NONCLAIM,False,2026-07-09T21:30:00+00:00
STR4847_positive_branch_exponential_3.00000000e+00,positive_branch_exponential,3.0000000000000000e+00,1.4422495703074083e+00,-4.5000000000000001e-01,9.5021293163213605e-01,1.0356127550917296e-01,-1.6754588190764044e-01,4.7048779607631430e-01,5.0212931632136049e-01,-3.1641520245046184e-02,0.0000000000000000e+00,-2.3524389803815715e-01,0,0,1.9038136944403834e+00,6.6666666666666652e-01,COVARIANT_STRESS_COMPUTED_NONCLAIM,False,2026-07-09T21:30:00+00:00
STR4847_global_tanh_0.00000000e+00,global_tanh,0.0000000000000000e+00,0.0000000000000000e+00,-4.5000000000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,0,1.4192231900240135e+00,6.1145329157828776e-01,EXACT_STATIC_STRESS_ZERO,False,2026-07-09T21:30:00+00:00
STR4847_global_tanh_1.00000000e-01,global_tanh,1.0000000000000001e-01,4.6415888336127792e-01,-4.5000000000000001e-01,9.9667994624955819e-02,2.1330331624329213e-01,2.9720492921412756e-01,-8.6441662288897228e-02,-1.9735189262927619e-01,1.1091023034037896e-01,0.0000000000000000e+00,4.3220831144448614e-02,0,0,1.4192231900240135e+00,6.1145329157828776e-01,COVARIANT_STRESS_COMPUTED_NONCLAIM,False,2026-07-09T21:30:00+00:00
STR4847_global_tanh_6.11453292e-01,global_tanh,6.1145329157828776e-01,8.4876558607891694e-01,-4.5000000000000001e-01,5.4514929909516219e-01,5.0630806148944274e-01,-1.4802973661668753e-16,1.4396544358878908e-16,-7.4406127654453902e-01,7.4406127654453913e-01,-3.2943141126273429e-17,-7.1982721794394541e-17,0,0,1.4192231900240135e+00,6.1145329157828776e-01,COVARIANT_STRESS_COMPUTED_NONCLAIM,False,2026-07-09T21:30:00+00:00
STR4847_global_tanh_1.01533824e+00,global_tanh,1.0153382408011506e+00,1.0050868272470150e+00,-4.5000000000000001e-01,7.6796095045546209e-01,4.1442019287141924e-01,-3.6812737327051259e-01,5.0204083442011915e-01,-4.8162387994523037e-01,9.8366471436534952e-01,0.0000000000000000e+00,-2.5102041721005958e-01,0,0,1.4192231900240135e+00,6.1145329157828776e-01,COVARIANT_STRESS_COMPUTED_NONCLAIM,False,2026-07-09T21:30:00+00:00
STR4847_global_tanh_1.00000000e+00,global_tanh,1.0000000000000000e+00,1.0000000000000000e+00,-4.5000000000000001e-01,7.6159415595576485e-01,4.1997434161402608e-01,-3.5971711403987383e-01,4.8561810395382971e-01,-4.9832886888631345e-01,9.8394697284014310e-01,-5.5511151231257827e-17,-2.4280905197691485e-01,0,0,1.4192231900240135e+00,6.1145329157828776e-01,COVARIANT_STRESS_COMPUTED_NONCLAIM,False,2026-07-09T21:30:00+00:00
STR4847_global_tanh_1.41922319e+00,global_tanh,1.4192231900240135e+00,1.1237858677645760e+00,-4.5000000000000001e-01,8.8943675915758624e-01,2.6382154129500524e-01,-4.3617538126424132e-01,7.4363881552706035e-01,2.2204460492503131e-16,7.4363881552706013e-01,0.0000000000000000e+00,-3.7181940776353017e-01,0,0,1.4192231900240135e+00,6.1145329157828776e-01,COVARIANT_STRESS_COMPUTED_NONCLAIM,False,2026-07-09T21:30:00+00:00
STR4847_global_tanh_3.00000000e+00,global_tanh,3.0000000000000000e+00,1.4422495703074083e+00,-4.5000000000000001e-01,9.9505475368673046e-01,2.0522184305461006e-02,-7.5467331266574858e-02,2.1192080616427708e-01,9.0626041919776879e-01,-6.9433961303349168e-01,2.7755575615628914e-17,-1.0596040308213854e-01,0,0,1.4192231900240135e+00,6.1145329157828776e-01,COVARIANT_STRESS_COMPUTED_NONCLAIM,False,2026-07-09T21:30:00+00:00
