config,operator_index,operator,quotient_representative_coefficient,checkpoint_marker,valid_for_claim,source_checked_date
N8_m1_nearest,0,D1_grad_R_squared,1.468007380473178e-05,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_nearest,1,D2_grad_Ricci_squared,-2.6372911992265234e-06,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_nearest,2,D3_crossed_grad_Ricci,-2.6067182062247947e-05,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_nearest,3,D4_grad_Riemann_squared,1.990694996203082e-06,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_nearest,4,C1_R_cubed,-6.54529156280999e-05,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_nearest,5,C2_R_Ricci_squared,-5.004660271960039e-05,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_nearest,6,C3_R_Riemann_squared,-3.114871332760454e-06,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_nearest,7,C4_Ricci_cubed,0.00046839739388527537,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_nearest,8,C5_Ricci_Ricci_Riemann,-0.0002986469662498086,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_nearest,9,C6_Ricci_Riemann_Riemann,-8.26065944562431e-05,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_nearest,10,C7_I1_Riemann_cubed,5.171356509381215e-05,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_nearest,11,C8_I2_Riemann_cubed,0.00045923269604995136,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_improved,0,D1_grad_R_squared,7.161324448516e-06,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_improved,1,D2_grad_Ricci_squared,-6.913359042862963e-05,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_improved,2,D3_crossed_grad_Ricci,-0.0004421751756964132,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_improved,3,D4_grad_Riemann_squared,-1.0344913064237194e-06,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_improved,4,C1_R_cubed,-0.00028775075825824734,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_improved,5,C2_R_Ricci_squared,-0.00022090391553876974,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_improved,6,C3_R_Riemann_squared,-1.6981695862082866e-05,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_improved,7,C4_Ricci_cubed,0.0021318883123856553,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_improved,8,C5_Ricci_Ricci_Riemann,-0.001500881908166376,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_improved,9,C6_Ricci_Riemann_Riemann,-0.00058208252115278,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
N8_m1_improved,10,C7_I1_Riemann_cubed,7.955696404964744e-06,MTS_FREE_LATTICE_MULTIGEOMETRY_CONTINUUM_PROJECTOR_4912,False,2026-07-12
