branch,time,coarse_count,fine_count,partition,fine_drive,coarse_drive,transferred_coarse_at_fine_geometry,uninterpolated_coarse_at_fine_geometry,fine_extended_operator_at_coarse_geometry,field_state_difference,transfer_commutator,geometry_source_difference,operator_mesh_difference,direct_difference,absolute_four_term_bound,valid_for_claim,source_path
reference,0.0,257,513,all_rows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,source-intake\navier-stokes\20260914\annular-spatial-Gram-defect-split-attempt02\status.json
reference,0.0,257,513,source_straddling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,source-intake\navier-stokes\20260914\annular-spatial-Gram-defect-split-attempt02\status.json
reference,0.0,257,513,remaining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,source-intake\navier-stokes\20260914\annular-spatial-Gram-defect-split-attempt02\status.json
reference,4e-05,257,513,all_rows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,source-intake\navier-stokes\20260914\annular-spatial-Gram-defect-split-attempt02\status.json
reference,4e-05,257,513,source_straddling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,source-intake\navier-stokes\20260914\annular-spatial-Gram-defect-split-attempt02\status.json
reference,4e-05,257,513,remaining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,source-intake\navier-stokes\20260914\annular-spatial-Gram-defect-split-attempt02\status.json
MTS,0.0,257,513,all_rows,4.93524721378483e-10,8.689557888493772e-09,1.8467924016244338e-09,1.8280835612844393e-09,1.8280835609193237e-09,-1.3532676802459508e-09,1.8708840339994427e-11,3.6511566122452817e-19,-6.861474327574449e-09,-8.19603316711529e-09,8.23345084852551e-09,False,source-intake\navier-stokes\20260914\annular-spatial-Gram-defect-split-attempt02\status.json
MTS,0.0,257,513,source_straddling,1.878892418917674e-11,-4.514459875316671e-14,1.8832148827741942e-11,1.2330825153881313e-13,1.2330825151320476e-13,-4.322463856520319e-14,1.870884057620313e-11,2.5608368736744508e-23,1.6845285026637148e-13,1.8834068787929904e-11,1.8920518065060314e-11,False,source-intake\navier-stokes\20260914\annular-spatial-Gram-defect-split-attempt02\status.json
MTS,0.0,257,513,remaining,4.747357971893059e-10,8.689603033092523e-09,1.82796025279669e-09,1.8279602530329018e-09,1.8279602526678097e-09,-1.3532244556073841e-09,-2.3621176367217397e-19,3.650920865770704e-19,-6.861642780424714e-09,-8.214867235903217e-09,8.214867236633403e-09,False,source-intake\navier-stokes\20260914\annular-spatial-Gram-defect-split-attempt02\status.json
MTS,4e-05,257,513,all_rows,-5.717403316221895e-08,-3.8584642597566534e-08,-2.7472479086130595e-08,-2.7491188112420266e-08,-2.7491188106698393e-08,-2.9701554076088358e-08,1.870902628967087e-11,-5.7218729948253094e-18,1.1093454490868141e-08,-1.858939056465242e-08,4.081371759896804e-08,False,source-intake\navier-stokes\20260914\annular-spatial-Gram-defect-split-attempt02\status.json
MTS,4e-05,257,513,source_straddling,-5.76487737210088e-08,-4.7271852628382874e-08,-2.9299228217274846e-08,-2.931793724371673e-08,-2.9317937237630032e-08,-2.834954550373395e-08,1.8709026441882028e-11,-6.086696040908147e-18,1.795391539075284e-08,-1.0376921092625924e-08,4.632216992701537e-08,False,source-intake\navier-stokes\20260914\annular-spatial-Gram-defect-split-attempt02\status.json
MTS,4e-05,257,513,remaining,4.747405587898567e-10,8.687210030816332e-09,1.826749131144254e-09,1.8267491312964619e-09,1.8267491309316376e-09,-1.3520085723543974e-09,-1.5220785015465752e-19,3.6482428685375637e-19,-6.860460899884694e-09,-8.212469472026476e-09,8.212469472756123e-09,False,source-intake\navier-stokes\20260914\annular-spatial-Gram-defect-split-attempt02\status.json
