branch,extension,label,energy_drift,boundary_energy_drift,relative_energy_drift,diagnostic_resolution_scale,drift_over_resolution,drift_resolved,smoke_passed,resolution_scale_not_certified,conservation_proven,valid_for_claim,source_path
reference,reference,one_step,9.40951736869448079974777108611373548812483169670E-18,-5.669706180718648928447058404792597073301998511818E-17,3.3675245094847695e-16,1.190982900074107e-15,0.007900631795896472,False,True,True,False,False,source-intake\navier-stokes\20260914\annular-candidate-endpoint-energy-attempt03\status.json
reference,reference,two_steps,8.92033129132882714164064350612991131091398259530E-18,-5.719618808157833168844826414685170075477032838496E-17,3.1924521821082046e-16,1.1909829000741067e-15,0.0074898903172948795,False,True,True,False,False,source-intake\navier-stokes\20260914\annular-candidate-endpoint-energy-attempt03\status.json
reference,reference,four_steps,8.65060016028215406359030674382048512441461789009E-18,-5.741017623987940930812806622377482210104172568791E-17,3.095919473874653e-16,1.1909829000741067e-15,0.00726341256431464,False,True,True,False,False,source-intake\navier-stokes\20260914\annular-candidate-endpoint-energy-attempt03\status.json
reference,reference,fine_step,9.39678826448031664923830048418065840907264506121E-18,-5.669295023273001601868872873429276423158457112444E-17,3.3629689548537214e-16,1.1909829000741055e-15,0.007889943897511565,False,True,True,False,False,source-intake\navier-stokes\20260914\annular-candidate-endpoint-energy-attempt03\status.json
MTS,primary,one_step,3.00586691333975676569897187231305524332740214805E-18,-5.673403528293482509003303296479753701605378221942E-17,1.0757544821646309e-16,1.1909829022548707e-15,0.002523853959321156,False,True,True,False,False,source-intake\navier-stokes\20260914\annular-candidate-endpoint-energy-attempt03\status.json
MTS,primary,two_steps,5.93322877016998123343619179575427036488565286724E-18,-5.724971339512456787818917243516809439907881751205E-17,2.1234131873545974e-16,1.1909829022548707e-15,0.004981791727603046,False,True,True,False,False,source-intake\navier-stokes\20260914\annular-candidate-endpoint-energy-attempt03\status.json
MTS,primary,four_steps,5.62976588998182738365712306004766984210439263023E-18,-5.757164645919304963872190264138993062180508308908E-17,2.0148083944796258e-16,1.1909829022548707e-15,0.0047269913609364785,False,True,True,False,False,source-intake\navier-stokes\20260914\annular-candidate-endpoint-energy-attempt03\status.json
MTS,primary,fine_step,9.96498514537852659864032083462654925937583031534E-18,-5.672282083517617313766659988763997256260771127167E-17,3.5663180519640226e-16,1.1909829022548695e-15,0.008367026198706945,False,True,True,False,False,source-intake\navier-stokes\20260914\annular-candidate-endpoint-energy-attempt03\status.json
MTS,alternative,one_step,3.00703337523041845520161104428300876742946669962E-18,-5.673428247422385029326668322566578915407377637521E-17,1.0761719413014893e-16,1.1909829022548707e-15,0.002524833370434828,False,True,True,False,False,source-intake\navier-stokes\20260914\annular-candidate-endpoint-energy-attempt03\status.json
MTS,alternative,two_steps,5.92972829222424184067783808012171334237321067765E-18,-5.725010521309727209493370440178957435650804432175E-17,2.1221604190357022e-16,1.1909829022548707e-15,0.004978852577142437,False,True,True,False,False,source-intake\navier-stokes\20260914\annular-candidate-endpoint-energy-attempt03\status.json
MTS,alternative,four_steps,5.63177630153906617389322757898090566788097744631E-18,-5.757191661404444112371891955064684773453923365691E-17,2.0155278904872825e-16,1.1909829022548707e-15,0.004728679388156207,False,True,True,False,False,source-intake\navier-stokes\20260914\annular-candidate-endpoint-energy-attempt03\status.json
MTS,alternative,fine_step,9.96545468206714749479641045547836858935446129984E-18,-5.672277746641787130554452416215555299898048354092E-17,3.566486092070883e-16,1.1909829022548695e-15,0.00836742044172062,False,True,True,False,False,source-intake\navier-stokes\20260914\annular-candidate-endpoint-energy-attempt03\status.json
