branch,extension,direction,step,sign,residual,iterations,radial_segments,action_channels,valid_for_claim,source_path
reference,reference,0,0.001,-1,5.551115123125783e-17,5,2182,"{'wave': -0.0016332235709462673, 'dust': -0.02625130553514486, 'gravity_bulk': 0.02792973808553978, 'gravity_boundary_shifted': -0.027938662204048947, 'total_shifted': -0.027893453224600295}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,0,0.001,1,5.551115123125783e-17,5,2182,"{'wave': -0.0016397727629282068, 'dust': -0.026251299978253657, 'gravity_bulk': 0.02793629445570238, 'gravity_boundary_shifted': -0.02794522457644666, 'total_shifted': -0.027900002861926145}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,0,0.0005,-1,5.551115123125783e-17,5,2182,"{'wave': -0.00163485964093654, 'dust': -0.026251304146963562, 'gravity_bulk': 0.027931375949458916, 'gravity_boundary_shifted': -0.02794030156723526, 'total_shifted': -0.027895089405676445}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,0,0.0005,1,5.551115123125783e-17,5,2182,"{'wave': -0.0016381342369278433, 'dust': -0.026251301368517953, 'gravity_bulk': 0.02793465413454055, 'gravity_boundary_shifted': -0.02794358275343356, 'total_shifted': -0.02789836422433881}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,0,0.00025,-1,5.551115123125783e-17,5,2182,"{'wave': -0.0016356779829330835, 'dust': -0.026251303452612534, 'gravity_bulk': 0.027932195188573965, 'gravity_boundary_shifted': -0.027941121556306348, 'total_shifted': -0.027895907803278}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,0,0.00025,1,5.551115123125783e-17,5,2182,"{'wave': -0.001637315280928777, 'dust': -0.026251302063389728, 'gravity_bulk': 0.027933834281114827, 'gravity_boundary_shifted': -0.027942762149405498, 'total_shifted': -0.027897545212609176}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,1,0.001,-1,5.551792749483586e-17,5,2189,"{'wave': -0.001635800159460108, 'dust': -0.026250640425097827, 'gravity_bulk': 0.027931658145379526, 'gravity_boundary_shifted': -0.02794058558838075, 'total_shifted': -0.02789536802755916}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,1,0.001,1,5.551115123125783e-17,5,2189,"{'wave': -0.001637198198074935, 'dust': -0.026251964849679947, 'gravity_bulk': 0.027934376184907007, 'gravity_boundary_shifted': -0.02794330298313885, 'total_shifted': -0.027898089845986726}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,1,0.0005,-1,5.551115123125783e-17,5,2189,"{'wave': -0.0016361476827385724, 'dust': -0.02625097162177493, 'gravity_bulk': 0.027932335756258662, 'gravity_boundary_shifted': -0.02794126303603428, 'total_shifted': -0.02789604658428912}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,1,0.0005,1,5.594483210025203e-17,5,2189,"{'wave': -0.0016368467010393485, 'dust': -0.026251633834051057, 'gravity_bulk': 0.027933694774999955, 'gravity_boundary_shifted': -0.027942621732389705, 'total_shifted': -0.027897407492480156}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,1,0.00025,-1,5.594483210025203e-17,5,2189,"{'wave': -0.001636321940657793, 'dust': -0.026251137197475793, 'gravity_bulk': 0.027932675036130013, 'gravity_boundary_shifted': -0.027941602234800023, 'total_shifted': -0.027896386336803598}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,1,0.00025,1,5.551115123125783e-17,5,2189,"{'wave': -0.001636671449682353, 'dust': -0.02625146830361198, 'gravity_bulk': 0.027933354545372845, 'gravity_boundary_shifted': -0.02794228158285006, 'total_shifted': -0.027897066790771547}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,2,0.001,-1,5.551115123125783e-17,5,2189,"{'wave': -0.0016384288387449888, 'dust': -0.026251305624763, 'gravity_bulk': 0.027934952940291746, 'gravity_boundary_shifted': -0.02794388173524398, 'total_shifted': -0.027898663258460223}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,2,0.001,1,5.551115123125783e-17,5,2189,"{'wave': -0.0016345713535947685, 'dust': -0.02625129988554557, 'gravity_bulk': 0.02793108345490647, 'gravity_boundary_shifted': -0.027940008902219704, 'total_shifted': -0.027894796686453574}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,2,0.0005,-1,5.551115123125783e-17,5,2189,"{'wave': -0.0016374617925255432, 'dust': -0.026251304192158344, 'gravity_bulk': 0.02793398289508766, 'gravity_boundary_shifted': -0.02794291085070899, 'total_shifted': -0.027897693940305217}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,2,0.0005,1,5.637851296924623e-17,5,2189,"{'wave': -0.0016355330499551613, 'dust': -0.02625130132255017, 'gravity_bulk': 0.027932048152400298, 'gravity_boundary_shifted': -0.02794097443420185, 'total_shifted': -0.02789576065430688}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,2,0.00025,-1,5.551115123125783e-17,5,2189,"{'wave': -0.001636978938150272, 'dust': -0.026251303475307377, 'gravity_bulk': 0.02793349854095283, 'gravity_boundary_shifted': -0.02794242607751407, 'total_shifted': -0.027897209950018893}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
reference,reference,2,0.00025,1,5.551792749483586e-17,5,2189,"{'wave': -0.001636014566865671, 'dust': -0.02625130204050198, 'gravity_bulk': 0.027932531169608428, 'gravity_boundary_shifted': -0.02794145786925939, 'total_shifted': -0.027896243307018613}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
MTS,primary,0,0.001,-1,5.551115123125783e-17,5,2182,"{'wave': -0.0016332236220240417, 'dust': -0.026251305535101768, 'gravity_bulk': 0.027929738136574574, 'gravity_boundary_shifted': -0.02793866225513031, 'total_shifted': -0.027893453275681546}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
MTS,alternative,0,0.001,-1,5.551115123125783e-17,5,2182,"{'wave': -0.0016332236220240417, 'dust': -0.026251305535101768, 'gravity_bulk': 0.027929738136574574, 'gravity_boundary_shifted': -0.02793866225513031, 'total_shifted': -0.027893453275681546}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
MTS,primary,0,0.001,1,5.594483210025203e-17,5,2182,"{'wave': -0.001639772814210674, 'dust': -0.02625129997821038, 'gravity_bulk': 0.027936294506941704, 'gravity_boundary_shifted': -0.0279452246277323, 'total_shifted': -0.027900002913211652}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
MTS,alternative,0,0.001,1,5.594483210025203e-17,5,2182,"{'wave': -0.001639772814210674, 'dust': -0.02625129997821038, 'gravity_bulk': 0.027936294506941704, 'gravity_boundary_shifted': -0.0279452246277323, 'total_shifted': -0.027900002913211652}",False,source-intake\navier-stokes\20260914\annular-candidate-coordinate-envelope-attempt01\status.json
