branch,time,actual_fine_drive,actual_coarse_drive,direct_drive_difference,fixed_fine_geometry_field_difference,terminal_configuration_metric_difference,gradient_field_pairing_error,source_drive_difference,field_difference_maximum,source_position_difference,momentum_fed_rate_maximum,configuration_metric_fed_rate_maximum,counterfactual_timelike_ratio,valid_for_claim,source_path
MTS,0.0,4.93524620624975e-10,4.93524620624975e-10,0.0,0.0,1.0339757656912846e-25,1.0339757656912846e-25,0.0,0.0,0.0,4.824699667560495e-18,4.824699667560495e-18,0.03910728808075198,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,1.25e-06,-7.772290839067818e-09,-7.94581563426303e-09,1.7352479519521172e-10,1.7352475424839787e-10,-3.308722450212111e-24,4.0946817163504464e-17,1.7352479519517036e-10,6.00001743887994e-18,0.0,9.194159105926913e-12,6.250832100193615e-14,0.03910726398425093,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,2.5e-06,-7.0768737526056435e-09,-7.210920334068461e-09,1.3404658146281766e-10,1.3404670902153218e-10,0.0,1.2755871451993424e-16,1.3404658146310883e-10,4.5115754097622214e-18,0.0,1.1772447925349741e-11,5.2170561707090525e-14,0.03910723988783946,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,3.7500000000000005e-06,-3.0317047509942153e-09,-3.044027901765392e-09,1.2323150771176748e-11,1.2323301310533882e-11,-8.271806125530277e-25,1.5053935630644792e-16,1.2323150771113055e-11,2.641710474028951e-18,0.0,4.973437297845738e-12,1.7443024021707165e-14,0.03910721579123997,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,5e-06,-1.3594608010164372e-08,-1.3793191537576507e-08,1.9858352741213543e-10,1.9858350142519774e-10,0.0,2.5986937682838644e-17,1.9858352741176485e-10,6.7097781091198406e-18,0.0,5.481250598803801e-12,7.905297510269465e-14,0.03910719169464194,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,6.25e-06,-1.0205532426284144e-08,-1.0288449850564289e-08,8.29174242801448e-11,8.291748316083587e-11,-9.760731228125727e-23,5.888059346887046e-17,8.291742428000087e-11,4.110690597694522e-18,0.0,1.181139089529229e-11,4.033096556374516e-14,0.039107167598051676,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,7.500000000000001e-06,-9.338028668201554e-09,-9.366969644273065e-09,2.8940976071510333e-11,2.8940851450624377e-11,0.0,1.246208859558792e-16,2.8940976071351514e-11,3.9332107254651445e-18,0.0,8.973740099529302e-12,3.439078449102295e-14,0.03910714350125904,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,8.750000000000001e-06,-1.8901990726045983e-08,-1.91059190758272e-08,2.0392834978121655e-10,2.0392825108175971e-10,0.0,9.869945683518935e-17,2.039283497810445e-10,6.968268741820211e-18,0.0,6.656587173830849e-13,5.864693496462903e-14,0.03910711940452078,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,1e-05,-1.2703535287566067e-08,-1.2744965947841235e-08,4.1430660275167394e-11,4.143080167306086e-11,0.0,1.4139789346586263e-16,4.143066027499203e-11,4.217218225701551e-18,0.0,9.959923944619087e-12,2.986255990918298e-14,0.039107095307740876,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,1.125e-05,-1.5348470927791696e-08,-1.5419722339811956e-08,7.125141202025962e-11,7.125132121765382e-11,-6.617444900424222e-24,9.08026124180371e-17,7.125141201985926e-11,4.67908279252666e-18,0.0,1.1391065228658842e-11,2.7568713372855398e-14,0.03910707121078569,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
MTS,1.25e-05,-2.306237859498038e-08,-2.3267881347087876e-08,2.0550275210749553e-10,2.055028195980625e-10,6.617444900424222e-24,6.74905735953335e-17,2.0550275210716466e-10,7.469421079019139e-18,0.0,4.244091298018227e-12,4.023729049769677e-14,0.03910704711391129,False,source-intake\navier-stokes\20260914\annular-live-Gram-defect-transport-MTS-attempt01\status.json
